"SampleID","avg_NPOC","avg_TN","SRP_uM","SRP_mgL","Q..L.s.","Date","Site","month_year","Low","Moderate","High","pct_burned","Moderate_High","Fluoride_mgL","Chloride_mgL","Sulfate_mgL","Bromide_mgL","NitrateN_mgL","time_since","biome_type","ignition_date","burn_period","mean_slope","mean_elev_m","max_elev_m","area_km2","biome_pca"
"R160",14.94,2.575,2.53443226,0.0784913670922,0.424028716509748,"2025-02-17","topanga","02.25",1.053,4.912,12.383,18.348,17.295,0.60375,118.74925,668.69325,0.0515,0.34425,0,"coastal","2025-01-07","24_25_burn",20.8357508266998,400.483672728162,783.474243164062,50.4848922517578,"shrub_grass"
"R161",0.00815,0.4783,0.6146143615,0.019034606775655,986.295926153845,"2025-02-16","lytle","02.25",NA,NA,NA,9.92384966251227,9.92384966251227,0.257266666666667,2.18813333333333,34.1512666666667,0.80885,0.737433333333333,0.487671232876712,"montane","2024-07-07","24_25_burn",29.4121351808193,1700.85506086244,3067.9306640625,119.428050318343,"forest"
"R162",2.54633333333333,0.658233333333333,0.108,0.006950170045379,148.415428,"2025-02-15","coldwater","02.25.2",22.794,33.667,34.24,90.701,67.907,0.158266666666667,8.23036666666667,72.2382333333333,0.3261,1.03706666666667,6.41095890410959,"coastal","2018-08-06","older_burn",34.1915768958545,980.60266352364,1726.5478515625,10.9421685770979,"shrub_grass"
"R163",7.41766666666667,0.945566666666667,0.4119908038,0.012759355193686,7.71267455287327,"2025-02-16","crowder","02.25",18.444,1.707,0.014,20.166,1.721,0.644,86.70425,55.575,0.153,1.74875,8.38356164383562,"desert","2016-08-16","older_burn",14.5783765510313,1137.30530208478,1625.65625,63.4265543711863,"shrub_grass"
"R164",17.6,3.94033333333333,2.418877711,0.07491264270967,NA,"2025-02-15","trabuco","02.25.2",6.275,25.565,31.919,63.76,57.484,0.2255,14.595,226.026,0.0545,3.4935,0.312328767123288,"coastal","2024-09-09","24_25_burn",31.1954690471713,946.396940826099,1730.82702636719,35.3994303955824,"shrub_grass"
"R165",2.83566666666667,1.79633333333333,0.3297589622,0.010212635059334,533.24074,"2025-02-16","cajon","02.25",30.09,12.783,2.072,44.945,14.855,0.79825,25.06,110.708,0.01075,3.0175,8.38356164383562,"desert","2016-08-16","older_burn",16.4470305577767,1188.54346854926,2100.98168945312,152.376440411394,"shrub_grass"
"R166",7.47,1.618,1.525076713,0.04723162580161,427.58368,"2025-02-15","santiago","02.25.2",3.494,7.644,12.785,23.924,20.429,0.16375,18.925,189.003,0.008,2.62875,0.312328767123288,"coastal","2024-09-09","24_25_burn",29.6967996088972,919.707454552801,1731.11450195312,32.595851444213,"shrub_grass"
"R167",10.16,1.98066666666667,1.998581632,0.06189607314304,9.15236375450599,"2025-02-17","santaynez","02.25.2",9.242,21.537,25.243,56.022,46.78,0.75,63.2573333333333,680.327333333333,0.0133333333333333,0.551666666666667,0,"coastal","2025-01-07","24_25_burn",21.8752951108559,417.610545174434,643.739074707031,7.81683297534721,"shrub_grass"
"R168",4.08966666666667,0.326733333333333,0.8639802402,0.026757468038994,1.65191759345164,"2025-04-19","santaynez","04.25",9.242,21.537,25.243,56.022,46.78,0.923,55.0466666666667,645.461666666667,0.0236666666666667,0.0166666666666667,0,"coastal","2025-01-07","24_25_burn",21.8752951108559,417.610545174434,643.739074707031,7.81683297534721,"shrub_grass"
"R169",4.11466666666667,1.514,0.6585939844,0.020396655696868,121.748741593146,"2025-02-15","silverado","02.25.2",2.599,2.31,0.137,5.046,2.447,0.574666666666667,41.6523333333333,628.299666666667,0.011,0.942666666666667,40,"coastal","2020-12-03","older_burn",30.6285496581298,831.970286977818,1417.09594726562,48.3264453671017,"shrub_grass"
